report,chapter,section,words,source_file
fourth_report,CHAPTER ONE - Introduction,Terms of Reference,272,4r_page.asp_ch=01_pa=01_5982148b.html
fourth_report,CHAPTER ONE - Introduction,Shipman's Use of Pethidine and Diamorphine,2729,4r_page.asp_ch=01_pa=30_fd2d85fb.html
fourth_report,CHAPTER THREE - A Brief History of the Regulation of Controlled Drugs,Establishing Regular Police Inspection of Retail Pharmacies,262,4r_page.asp_ch=03_pa=13_143c861e.html
fourth_report,CHAPTER THREE - A Brief History of the Regulation of Controlled Drugs,Introduction,92,4r_page.asp_ch=03_pa=01_f94b49f9.html
fourth_report,CHAPTER THREE - A Brief History of the Regulation of Controlled Drugs,The Rolleston Report 1926,1069,4r_page.asp_ch=03_pa=21_8477be83.html
fourth_report,CHAPTER THREE - A Brief History of the Regulation of Controlled Drugs,The Medicines Act 1968,240,4r_page.asp_ch=03_pa=41_2e18ff7f.html
fourth_report,"CHAPTER FOUR - The Authority of a Medical Practitioner to Prescribe, Possess, Supply and Administer Controlled Drugs",Introduction,311,4r_page.asp_ch=04_pa=01_68ccd72f.html
fourth_report,CHAPTER SIX - Prescriptions and Requisitions,Conclusion,259,4r_page.asp_ch=05_pa=31_4fa35a42.html
fourth_report,CHAPTER FIVE - Arrangements for Dealing with Controlled Drugs in General Practitioners' Surgeries,Introduction,86,4r_page.asp_ch=05_pa=01_6920f9a4.html
fourth_report,CHAPTER SIX - Prescriptions and Requisitions,Introduction,63,4r_page.asp_ch=06_pa=01_ab9cba1f.html
fourth_report,CHAPTER SEVEN - Pharmacists and Pharmacies,The Controlled Drugs Register,2970,4r_page.asp_ch=07_pa=67_39636e81.html
fourth_report,CHAPTER SEVEN - Pharmacists and Pharmacies,Destruction of Controlled Drugs,871,4r_page.asp_ch=07_pa=75_cfeee9fa.html
fourth_report,CHAPTER SEVEN - Pharmacists and Pharmacies,The Operation of Community Pharmacies,965,4r_page.asp_ch=07_pa=29_9af87f5b.html
fourth_report,CHAPTER SEVEN - Pharmacists and Pharmacies,Legislation,139,4r_page.asp_ch=07_pa=01_7e99f739.html
fourth_report,CHAPTER EIGHT - Controlled Drugs in the Community,The Destruction of Controlled Drugs after Death,1542,4r_page.asp_ch=08_pa=31_04f971a3.html
fourth_report,CHAPTER EIGHT - Controlled Drugs in the Community,Introduction,499,4r_page.asp_ch=08_pa=01_0426ec54.html
fourth_report,CHAPTER NINE - The Inspection and Monitoring of the Arrangements for Controlled Drugs,Police Inspections,4259,4r_page.asp_ch=09_pa=34_3b239850.html
fourth_report,CHAPTER NINE - The Inspection and Monitoring of the Arrangements for Controlled Drugs,Home Office Inspections,1335,4r_page.asp_ch=09_pa=06_e2cebeac.html
fourth_report,CHAPTER NINE - The Inspection and Monitoring of the Arrangements for Controlled Drugs,Introduction,100,4r_page.asp_ch=09_pa=01_0fc2c526.html
fourth_report,CHAPTER TEN - Shipman's Abuse of Controlled Drugs in Todmorden,The Obtaining of Drugs in 1974 and 1975,1089,4r_page.asp_ch=10_pa=01_32a1e417.html
fourth_report,CHAPTER ELEVEN - Shipman's Use of Controlled Drugs in Hyde from 1977 to 1993,"The Pharmacy at 23 Market Street, Hyde",1858,4r_page.asp_ch=11_pa=21_37cfc54a.html
fourth_report,CHAPTER ELEVEN - Shipman's Use of Controlled Drugs in Hyde from 1977 to 1993,Introduction,639,4r_page.asp_ch=11_pa=01_adbc5d0c.html
fourth_report,CHAPTER THIRTEEN - Controlled Drugs Regulation in British Columbia and Northern Ireland,Introduction,164,4r_page.asp_ch=13_pa=01_d223f452.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,Introduction,716,4r_page.asp_ch=14_pa=01_d431ffc8.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,Prescriptions,8525,4r_page.asp_ch=14_pa=100_a287eb9a.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,Pharmacy Controlled Drugs Registers,4763,4r_page.asp_ch=14_pa=161_a9ad3ac7.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,General Practitioners' Controlled Drugs Registers,1694,4r_page.asp_ch=14_pa=128_0c4ba48e.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,Should the Freedom to Prescribe Controlled Drugs Extend only to Practitioners in Actual Clinical Practice in a Relevant Field?,1766,4r_page.asp_ch=14_pa=08_314aa7b7.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,Summary,820,4r_page.asp_ch=14_pa=256_e6623633.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,"Should There Be Some Control on Doctors' Prescribing of Controlled Drugs for Themselves, Their Families or Friends?",1960,4r_page.asp_ch=14_pa=18_a3acb2e8.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,Should the Freedom to Prescribe Controlled Drugs for a Patient in the Community Extend only to a Patient's 'Nominated' General Practitioner?,474,4r_page.asp_ch=14_pa=36_7d3e29b0.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,Should Section 12 of the Misuse of Drugs Act 1971 Be Repealed?,1132,4r_page.asp_ch=14_pa=37_7c31f270.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,The Audit of Controlled Drugs in the Community,2376,4r_page.asp_ch=14_pa=219_8339dde4.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,The Disposal of Unused Controlled Drugs in the Community,2118,4r_page.asp_ch=14_pa=245_a2d40711.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,Collecting Controlled Drugs from the Pharmacy,1456,4r_page.asp_ch=14_pa=209_53a00801.html
fourth_report,CHAPTER FOURTEEN - The Discussion Paper and the Seminars: Conclusions,Inspection Arrangements,3011,4r_page.asp_ch=14_pa=182_3ee4ebc6.html
fourth_report,"APPENDIX B - Participants in Phase Two, Stage Three of the Inquiry and Their Representatives",APPENDIX A - Selected Pages from 23 Market Street Controlled Drugs Register,29,4r_page.asp_ch=101_pa=1_7ab7e4dd.html
fourth_report,APPENDIX A - Selected Pages from 23 Market Street Controlled Drugs Register,"APPENDIX B - Participants in Phase Two, Stage Three of the Inquiry and Their Representatives",251,4r_page.asp_ch=102_pa=1_49d0fa73.html
fourth_report,"APPENDIX B - Participants in Phase Two, Stage Three of the Inquiry and Their Representatives",APPENDIX C - Summary of the Main Legal Requirements Governing the Possession and Supply of Controlled Drugs as They Apply to Pharmacists and General Practitioners,40,4r_page.asp_ch=103_pa=1_ca09060a.html
fourth_report,APPENDIX C - Summary of the Main Legal Requirements Governing the Possession and Supply of Controlled Drugs as They Apply to Pharmacists and General Practitioners,APPENDIX D - Pages from the Standard National Pharmaceutical Association Controlled Drugs Register,25,4r_page.asp_ch=104_pa=1_9add241a.html
fourth_report,APPENDIX D - Pages from the Standard National Pharmaceutical Association Controlled Drugs Register,APPENDIX E - Respondents to the Inquiry's Stage Three Discussion Paper,1460,4r_page.asp_ch=105_pa=1_4975b034.html
fourth_report,APPENDIX E - Respondents to the Inquiry's Stage Three Discussion Paper,APPENDIX F - Participants in the Inquiry Seminars: 12th-16th January 2004,154,4r_page.asp_ch=106_pa=1_3b34c291.html
fourth_report,,,33,4r_page.asp_ch=201_pa=05_86738abe.html
fourth_report,APPENDIX A - Selected Pages from 23 Market Street Controlled Drugs Register,APPENDICES,1,4r_page.asp_name=app_a7c2437b.html
fourth_report,,The Fourth Report,32,4r_page.asp_b94697c2.html
fourth_report,,,5,4rw_page.asp_6cc945b4.html
fourth_report,,,49,4rw_page.asp_ID=25_cafda602.html
fourth_report,,,151,4rw_page.asp_p=1_id=933_15999b0f.html
fourth_report,,,2,4rw_page.asp_id=934_91f3d6df.html
fourth_report,,,697,4rw_page.asp_p=1_id=935_2dee7ca9.html
fourth_report,,,275,4rw_page.asp_p=1_id=937_1bbfab51.html
fourth_report,,,885,4rw_page.asp_p=1_id=938_253c179d.html
fourth_report,,,312,4rw_page.asp_p=1_id=939_42196862.html
fourth_report,,,1122,4rw_page.asp_p=1_id=940_a262cd7d.html
fourth_report,,,926,4rw_page.asp_id=941_e6563529.html
fourth_report,,,1371,4rw_page.asp_p=1_id=942_88cd7a96.html
fourth_report,,,314,4rw_page.asp_p=1_id=943_28e818e8.html
fourth_report,,,1545,4rw_page.asp_p=1_id=944_63c8c046.html
fourth_report,,,429,4rw_page.asp_p=1_id=945_7892f0f8.html
fourth_report,,,26,4rw_page.asp_id=946_4004755a.html
fourth_report,,,64,4rw_page.asp_p=1_id=947_0b813a31.html
fourth_report,,,199,4rw_page.asp_p=1_id=948_58ea092b.html
fourth_report,,,474,4rw_page.asp_id=949_5391fd88.html
fourth_report,,,422,4rw_page.asp_id=950_b01a383f.html
fourth_report,,,354,4rw_page.asp_id=951_3ff80afc.html
fourth_report,,,547,4rw_page.asp_id=952_bb359f46.html
fourth_report,,,311,4rw_page.asp_ID=953_cbedc2b4.html
fourth_report,,,16,4rw_page.asp_p=1_id=954_7ccca199.html
fourth_report,,,234,4rw_page.asp_p=1_id=955_92f2e224.html
fourth_report,,,416,4rw_page.asp_id=956_6dfd722c.html
fourth_report,,,858,4rw_page.asp_id=957_6a243884.html
fourth_report,,,2808,4rw_page.asp_id=958_4d9e3860.html
fourth_report,,,1617,4rw_page.asp_p=1_id=959_8712c72d.html
fourth_report,,,365,4rw_page.asp_p=1_id=960_07caf1c5.html
fourth_report,,,14,4rw_page.asp_p=1_id=961_93d08e45.html
fourth_report,,,178,4rw_page.asp_ID=962_ad4640af.html
fourth_report,,,2665,4rw_page.asp_id=963_e0a798b1.html
fourth_report,,,373,4rw_page.asp_p=1_id=964_3be9e02b.html
fourth_report,,,199,4rw_page.asp_p=1_id=965_82561348.html
fourth_report,,,49,4rw_page.asp_id=966_b583333c.html
fourth_report,,,79,4rw_page.asp_id=967_ab05bcfd.html
fourth_report,,,265,4rw_page.asp_ID=968_c830f9b5.html
fourth_report,,,75,4rw_page.asp_p=1_id=969_8b62cba4.html
fourth_report,,,57,4rw_page.asp_ID=970_0485a3e2.html
fourth_report,,,287,4rw_page.asp_id=971_2bb3cd01.html
fourth_report,,,351,4rw_page.asp_id=972_5506d32a.html
fourth_report,,,534,4rw_page.asp_id=973_605e261b.html
fourth_report,,,227,4rw_page.asp_p=1_id=974_110e7051.html
fourth_report,,,1026,4rw_page.asp_ID=975_d70d22e9.html
fourth_report,,,145,4rw_page.asp_id=976_7f885b60.html
fourth_report,,,132,4rw_page.asp_p=1_id=977_54203a35.html
fourth_report,,,329,4rw_page.asp_id=978_888fa87c.html
fourth_report,,,947,4rw_page.asp_id=979_a8ea3abb.html
fourth_report,,,275,4rw_page.asp_p=1_id=980_19d961ac.html
fourth_report,,,230,4rw_page.asp_p=1_id=981_c497cf4d.html
fourth_report,,,1337,4rw_page.asp_ID=982_288cf512.html
fourth_report,,,326,4rw_page.asp_id=983_208a5024.html
fourth_report,,,166,4rw_page.asp_p=1_id=984_ceaea8a0.html
fourth_report,,,197,4rw_page.asp_p=1_id=985_ceb8f310.html
fourth_report,,,344,4rw_page.asp_id=986_f30782f0.html
fourth_report,,,26,4rw_page.asp_p=1_id=987_4497778e.html
